219	5	42	-817.7	1913.0
220	5	43	-1712.8	430.06
221	5	44	-504.2	796.9
222	5	45	72.96	794.4
223	5	46	-382.7	394.8
224	5	47	-248.3	517.5
225	5	49	104.7	-61.2
226	5	50	57.65	682.5
227	5	55	215.81	72.19
228	5	84	-1840.8	111.65
229	5	85	56.298	122.19
230	6	7	-180.95	289.6
231	6	8	-101.7	-265.2
232	6	9	23.39	108.65
233	6	10	306.42	-340.18
234	6	11	-10.72	249.63
235	6	12	179.7	227.8
236	6	13	-128.6	238.4
237	6	14	359.3	-481.65
238	6	15	-20.98	-370.3
239	6	16	53.9	-406.8
240	6	17	489.7	-118.1
241	6	18	580.48	-378.24
242	6	19	53.28	162.6
243	6	20	-202.0	339.8
244	6	21	-38.32	529.0
245	6	22	-102.54	669.9
246	6	23	-139.35	649.1
247	6	24	-44.76	709.6
248	6	25	-28.25	612.8
249	6	26	75.14	252.56
250	6	27	457.88	511.29
251	6	28	-31.09	914.2
252	6	29	17.5	448.6
253	6	30	-61.76	287.0
254	6	31	-119.2	240.8
255	6	32	212.1	431.3
256	6	33	106.3	494.7
257	6	34	-119.1	967.71
258	6	35	-399.3	695.0
259	6	36	-5.224	218.8
260	6	37	33.47	528.0
261	6	38	-48.25	645.9
262	6	39	-172.4	172.2
263	6	41	165.7	171.0
264	6	45	-52.1	762.7
265	6	48	37.63	420.0
266	6	49	-59.4	-89.24
267	6	50	-46.01	597.8
268	6	55	150.02	265.75
269	7	8	324.5	-601.8
270	7	9	-195.4	472.5
271	7	10	-116.0	480.8
272	7	11	72.87	200.8
273	7	12	233.87	124.63
274	7	13	540.5	-314.7
275	7	14	48.89	-330.4
276	7	15	168.0	-448.2
277	7	16	304.0	-598.8
278	7	17	243.2	-341.6
279	7	18	459.0	-332.9
280	7	19	112.6	242.8
281	7	20	-14.09	-66.17
282	7	21	325.44	698.24
283	7	22	370.4	708.69
284	7	23	353.68	826.76
285	7	24	497.54	1201.0
286	7	25	133.9	-274.5
287	7	26	220.6	417.9
288	7	27	399.5	360.7
289	7	28	887.1	1081.0
290	7	30	188.026	23.484
291	7	31	12.72	-137.4
292	7	33	777.1	79.18
293	7	35	-139.0	-240.0
294	7	36	160.8	386.6
295	7	39	319.0	-287.1
296	7	41	-197.5	284.4
297	7	42	-363.8	180.2
298	7	44	-452.2	832.2
299	7	46	835.6	-509.3
300	7	47	139.6	-205.7
301	7	49	407.9	-384.3
302	7	55	-255.63	627.39
303	8	9	-356.1	-133.1
304	8	10	-271.1	-155.6
305	8	11	-449.4	-36.72
306	8	12	-32.52	-234.25
307	8	13	-162.8742	-178.5461
308	8	14	-832.97	-870.8
309	8	17	119.9	-253.1
310	8	18	-305.5	-341.6
311	8	20	408.9	-11.0
312	8	22	517.27	1633.5
313	8	24	1827.0	10000.0
314	8	25	6915.0	622.3
315	8	27	-413.48	815.12
316	8	28	8483.5	1421.3
317	8	31	-687.1	838.4
318	8	41	-494.2	-167.3
319	8	44	-659.0	-234.7
320	8	50	1005.0	810.5
321	9	10	-37.36	128.0
322	9	11	-213.7	372.2
323	9	12	-190.4	385.4
324	9	13	-103.6	191.1
325	9	15	-174.2	394.6
326	9	16	-169.0	225.3
327	9	17	6201.0	-450.3
328	9	18	7.341	29.1
329	9	19	481.7	-287.5
330	9	20	669.4	-297.8
331	9	21	-191.69	286.28
332	9	22	-130.3	82.86
333	9	23	-354.55	552.1
334	9	24	-39.2	372.0
335	9	25	-119.8	518.4
336	9	26	137.5	-142.61
337	9	27	548.5	-101.5
338	9	28	216.138	303.657
339	9	29	-46.28	160.6
340	9	30	-163.7	317.5
341	9	31	71.46	135.4
342	9	32	53.59	138.0
343	9	33	245.2	-142.6
344	9	34	-246.6	443.615
345	9	35	-44.58	110.4
346	9	36	-63.5	114.55
347	9	37	-34.57	-40.9
348	9	39	-61.7	97.04
349	9	41	-18.8	123.4
350	9	42	-588.9	992.4
351	9	47	37.54	156.4
352	9	50	-162.6	278.8
353	10	11	-110.3	185.1
354	10	12	766.0	-236.5
355	10	13	304.1	-7.838
356	10	19	-106.4	224.66
357	10	20	497.5	-165.5
358	10	21	751.9	-47.51
359	10	22	67.52	190.6
360	10	23	-483.7	242.8
361	10	32	117.0	245.9
362	10	34	2.21	-55.87
363	10	36	-339.2	354.0
364	10	37	172.4	183.8
365	10	39	-268.8	13.89
366	10	41	-275.5	577.5
367	11	12	-241.8	1167.0
368	11	13	-235.7	461.3
369	11	15	-73.5	136.0
370	11	16	-196.7	2888.6001
371	11	17	475.5	-294.8
372	11	18	-0.13	8.87
373	11	19	494.6	-266.6
374	11	20	660.2	-256.3
375	11	21	-34.74	35.38
376	11	22	108.85	-132.95
377	11	23	-209.66	176.45
378	11	24	54.57	129.49
379	11	25	442.4	-171.1
380	11	26	-81.13	129.3
381	11	28	183.046	243.775
382	11	30	202.25	-146.31
383	11	31	-101.7	152.0
384	11	32	148.3	21.92
385	11	33	18.88	24.37
386	11	34	71.48	-111.45
387	11	35	52.08	41.57
388	11	36	-28.61	175.53
389	11	37	-275.2	611.3
390	11	39	85.33	-82.12
391	11	41	560.2	-234.9
392	11	47	151.8	-3.444
393	12	13	-234.0	457.3
394	12	18	-233.4	554.4
395	12	19	-47.25	99.37
396	12	20	-268.1	193.9
397	12	22	31.0	80.99
398	12	23	-126.2	235.6
399	12	24	179.7	351.9
400	12	25	24.28	383.3
401	12	29	103.9	201.5
402	12	33	298.13	-92.26
403	12	37	-11.4	134.5
404	12	39	308.9	-116.7
405	12	41	-122.3	145.4
406	13	14	-78.36	222.1
407	13	15	251.5	-56.08
408	13	16	5422.2998	-194.1
409	13	17	-46.39	285.36
410	13	18	213.2	-156.1
411	13	19	-18.51	38.81
412	13	20	664.6	-338.5
413	13	21	301.14	225.39
414	13	22	137.77	-197.71
415	13	23	-154.3	-20.93
416	13	24	47.67	113.9
417	13	25	134.8	-25.15
418	13	26	95.18	-94.49
419	13	27	155.11	220.66
420	13	28	140.896	112.382
421	13	29	-8.538	63.71
422	13	30	170.1	-87.31
423	13	31	-20.11	9.207
424	13	32	-149.5	476.6
425	13	33	-202.3	736.4
426	13	34	-156.57	173.77
427	13	35	128.8	-93.51
428	13	37	240.2	-217.9
429	13	38	-273.95	167.3
430	13	39	254.8	-158.2
431	13	40	-172.51	278.15
432	13	41	417.0	-247.8
433	13	42	1338.0	448.5
434	14	15	-107.2	127.4
435	14	16	-41.11	38.89
436	14	17	-200.7	-15.07
437	14	19	358.9	-157.3
438	14	21	-82.92	131.2
439	14	24	-99.81	261.1
440	14	25	30.05	108.5
441	14	29	-70.14	106.7
442	14	35	874.19	-366.51
443	14	39	-164.0	49.7
444	14	42	-664.4	961.8
445	14	43	275.9	-125.2
446	15	16	-189.2	865.9
447	15	17	138.54	64.3
448	15	18	431.49	-207.66
449	15	19	147.1	-108.5
450	15	24	71.23	91.13
451	15	25	-18.93	102.2
452	15	31	939.07	-213.74
453	15	38	570.9	-198.8
454	15	39	-255.22	10.03
455	15	41	-38.77	284.5
456	15	42	448.1	1464.2
457	15	43	-1327.0	1603.8
458	16	17	287.43	-24.46
459	16	19	1255.1	-446.86
460	16	21	-182.91	151.38
461	16	22	-73.85	-141.4
462	16	23	-352.9	-293.7
463	16	24	-262.0	316.9
464	16	25	-181.9	2951.0
465	16	35	243.1	-257.2
466	16	38	-196.312	116.478
467	16	39	22.05	-185.2
468	17	18	89.7	117.4
469	17	19	-281.6	777.4
470	17	20	-396.0	493.8
471	17	21	287.0	429.7
472	17	22	-111.0	140.8
473	17	24	882.0	898.2
474	17	25	617.5	334.9
475	17	27	-139.3	134.9
476	17	31	0.1004	192.3
477	17	39	-334.4	343.7
478	17	41	-89.42	-22.1
479	18	19	-169.67	134.28
480	18	20	-153.7	-313.5
481	18	22	-351.6	587.3
482	18	23	-114.73	18.98
483	18	24	-205.3	368.5
484	18	25	-2.17	20.18
485	18	27	2845.0	2475.0
486	18	33	-60.78	-42.71
487	18	37	160.7	281.6
488	18	38	-158.8	159.8
489	18	50	-136.6	221.4
490	19	20	205.27	92.07
491	19	21	4.933	54.32
492	19	22	-152.7	258.6
493	19	23	-15.62	74.04
494	19	24	-54.86	491.95
495	19	25	-4.624	363.5
496	19	26	-0.515	0.283
497	19	28	230.852	335.743
498	19	29	0.4604	161.0
499	19	31	177.5	169.6
500	19	33	-62.17	136.9
501	19	34	-203.02	329.12
502	19	36	81.57	-42.31
503	19	37	-55.77	335.2
504	19	39	-151.5	150.6
505	19	41	120.3	-61.6
506	19	47	16.23	119.2
507	20	21	13.41	519.1
508	20	22	-44.7	543.3
509	20	23	39.63	504.2
510	20	24	183.4	631.0
511	20	25	-79.08	993.4
512	20	30	-208.9	570.6
513	20	32	228.4	616.6
514	20	33	-95.0	5256.0
515	20	35	-463.6	-180.2
516	20	37	-11.16	898.2
517	20	39	-228.0	-97.77
